nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
25112 (04.13.310.4),BN025112,Prestastígur 1-3,breyting úti,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,Sótt er um leyfi fyrir breyttu skipulagi og fyrirkomulagi bílastæða á lóðinni nr. 1-3 við Prestastíg.   Gjald kr. 4.800
25138 (04.13.330.2),BN025138,Prestastígur 2-4,nr.4 breyting úti,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,Sótt er um leyfi fyrir breyttu fyrirkomulagi utanhúss við hús nr. 4 á lóðinni nr. 2-4 við Prestastíg.   Gjald kr. 4.800
25137 (04.13.330.2),BN025137,Prestastígur 2-4,nr.2 breyting úti,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,Sótt er um leyfi fyrir breyttu fyrirkomulagi utanhúss við hús nr. 2 á lóðinni nr. 2-4 við Prestastíg.   Gjald kr. 4.800
25116 (04.13.330.1),BN025116,Prestastígur 6-8,nr.6 breyting úti,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,Sótt er um leyfi fyrir breyttu fyrirkomulagi bílastæða og lóðar við hús nr. 6 á lóðinni nr. 6-8 við Prestastíg.   Gjald kr. 4.800
25114 (04.13.330.1),BN025114,Prestastígur 6-8,nr.8 breyting úti,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,Sótt er um leyfi fyrir breyttu fyrirkomulagi bílastæða og lóðar við hús nr. 8 á lóðinni nr. 6-8 við Prestastíg.   Gjald kr. 4.800
25117 (04.13.310.5),BN025117,Prestastígur 7,breyting úti,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsfulltrúa.,Sótt er um leyfi fyrir breyttu fyrirkomulagi á lóð og breytingu á verönd á suðausturhlið hússins á lóðinni nr. 7 við Prestastíg.  Gjald kr. 4.800
25115 (04.13.310.3),BN025115,Prestastígur 9,breyting úti,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,Sótt er um leyfi fyrir breyttu fyrirkomulagi utanhúss á lóðinni nr. 9 við Prestastíg.   Bílastæðum á lóð fjölgar um þrjú (verða 43).  Gjald kr. 4.800
22574 (01.29.520.2),BN022574,Síðumúli 32,Br á innra frkl 2. hæð og á bílast.,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Þinglýsa skal yfirlýsingu lóðarhafa Síðumúla 34 fyrir útgáfu byggingarleyfis. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.,"Sótt er um leyfi til að breyta innra fyrirkomulagi á fyrstu og annarri hæð, breyta aksturshurð í útihurð og setja upp loftræstistokk á suðurgafl atvinnuhússins á lóð nr. 32 við Síðumúla.  Samþykki Síðumúla 34 dags. 26. apríl 2002 fylgir og samþykki meðlóðarhafa dags. 18. apríl 2002 fylgja erindinu.  Gjald kr. 4.100"
24684 (01.70.360.1),BN024684,Skógarhlíð 12,breyting úti,Frestað. Leiðrétta hæðarkóta.,"Sótt er um leyfi til þess að breyta tröppum við vesturgafl, fjölga bílastæðum úr 164 í 168 og hækka bílastæðaplan og jarðvegshæð á norðvesturhorni lóðar nr. 12 við Skógarhlíð.  Bréf landslagsarkitekts dags. 5. mars 2002 fylgir erindinu.  Gjald kr. 4.800"
24871 (01.17.020.1),BN024871,Skólastræti 5,breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi fyrir breytingum á útliti hússins nr. 5 á lóðinni nr. 5-5B við Skólastræti.  Gluggasetningu á suðurgafli er breytt og suðurgaflinn er klæddur timburklæðningu í stað bárujárns áður.  Umsögn Árbæjarsafns dags. 14. maí 2002 fylgir erindinu ásamt umsögn Húsafriðunarnefndar dags. 15. maí 2002  Samþykki meðlóðarhafa (á teikn.) fylgir erindinu.  Gjald kr 4.800
25128 (01.15.220.3),BN025128,Skúlagata 12,fjölbýlishús,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að byggja fimmtán hæða fjölbýlishús á lóðinni nr. 12 við Skúlagötu.  Greinargerð um hönnun eldvarna dags. 20. maí 2002 fylgir erindinu.  Stærð xx  Gjald kr. 4.800 + xx
